Year,Firm_Name,Industry_Affected,AI_Used_for_Auditing,Total_Audit_Engagements,High_Risk_Cases,Compliance_Violations,Fraud_Cases_Detected,Employee_Workload,Audit_Effectiveness_Score,Client_Satisfaction_Score,Total_Revenue_Impact
2020,PwC,Healthcare,No,2829,51,123,39,57,5.8,8.4,"$114,240,000"
2022,Deloitte,Healthcare,Yes,3589,185,30,60,58,5.3,6.7,"$156,980,000"
2020,PwC,Healthcare,No,2438,212,124,97,76,6.1,6.2,"$131,830,000"
2021,PwC,Healthcare,No,2646,397,55,97,60,5.1,8.6,"$229,110,000"
2020,PwC,Healthcare,No,2680,216,99,46,51,9.1,6.7,"$48,000,000"
2023,Deloitte,Finance,No,818,448,10,30,73,5.3,7.1,"$438,890,000"
2022,Deloitte,Retail,No,1199,148,114,11,53,9.6,6.3,"$468,820,000"
2020,PwC,Tech,Yes,4092,500,152,69,80,9.4,9.5,"$53,850,000"
2021,PwC,Finance,No,4156,362,53,95,56,6,6,"$318,790,000"
2021,Ernst & Young,Retail,Yes,2490,74,144,22,66,6.8,7.3,"$461,330,000"
2020,KPMG,Finance,Yes,1497,330,10,10,59,8.3,8,"$258,490,000"
2024,Ernst & Young,Healthcare,Yes,2712,408,186,61,78,9.5,8.9,"$224,920,000"
2024,Deloitte,Healthcare,No,2885,469,125,92,58,9.3,7.7,"$418,490,000"
2023,PwC,Retail,Yes,2267,164,125,42,58,7.3,7.7,"$445,620,000"
2020,PwC,Retail,Yes,2333,358,48,17,40,10,8.3,"$388,500,000"
2021,Deloitte,Finance,Yes,3490,127,17,62,52,8.4,7.5,"$495,190,000"
2020,Ernst & Young,Tech,Yes,3264,435,82,18,76,5.3,7.1,"$61,170,000"
2022,Deloitte,Retail,No,4813,249,81,64,67,9.8,7.5,"$182,900,000"
2022,Deloitte,Healthcare,No,2804,273,87,36,46,6.6,9.5,"$243,850,000"
2021,KPMG,Tech,Yes,2239,78,30,14,53,8,7.6,"$129,980,000"
2024,Deloitte,Retail,No,1581,247,181,72,56,5.6,7.9,"$221,420,000"
2025,Deloitte,Finance,Yes,760,406,65,69,40,5.1,7.5,"$140,290,000"
2023,PwC,Retail,Yes,2238,101,184,79,65,7,7.1,"$216,840,000"
2024,Ernst & Young,Healthcare,Yes,1760,415,183,11,53,8.2,8.4,"$291,000,000"
2024,PwC,Healthcare,Yes,4103,423,179,30,41,6.7,5,"$225,420,000"
2025,PwC,Tech,Yes,4470,63,49,54,43,5.8,5.6,"$213,920,000"
2020,KPMG,Tech,No,2515,362,146,94,63,5.8,5,"$447,140,000"
2025,KPMG,Retail,No,3852,317,65,12,78,6.2,7.3,"$294,380,000"
2025,Ernst & Young,Finance,Yes,4773,497,186,56,44,9.4,6.1,"$197,870,000"
2025,Ernst & Young,Retail,No,3571,86,181,90,58,7.4,7.6,"$474,210,000"
2020,Deloitte,Healthcare,No,2030,200,169,18,76,5.2,9.3,"$104,980,000"
2020,Ernst & Young,Healthcare,Yes,811,398,94,94,66,7.2,9.6,"$438,450,000"
2023,Ernst & Young,Tech,No,1727,59,184,20,50,6.9,8.8,"$249,680,000"
2024,Ernst & Young,Tech,No,4481,258,136,32,53,8.9,5.1,"$156,760,000"
2022,Deloitte,Healthcare,No,4287,158,73,66,78,8.3,6.5,"$69,970,000"
2021,KPMG,Retail,Yes,3560,302,37,42,50,9.2,8.9,"$94,560,000"
2023,PwC,Finance,Yes,3449,102,61,42,77,5.2,9.2,"$33,460,000"
2024,Deloitte,Healthcare,No,4324,483,166,26,40,8.8,6.2,"$284,840,000"
2022,Ernst & Young,Retail,Yes,2245,435,42,13,67,7,5.5,"$265,760,000"
2021,Deloitte,Tech,Yes,603,62,100,20,60,5.3,8.5,"$415,300,000"
2020,PwC,Tech,Yes,3981,199,134,63,63,6.8,8.9,"$52,640,000"
2021,Ernst & Young,Tech,Yes,1119,325,53,40,71,7,6.4,"$307,880,000"
2023,KPMG,Retail,No,3076,428,138,79,62,8.8,7.3,"$150,590,000"
2024,KPMG,Healthcare,No,3958,442,115,94,63,5.2,5.2,"$468,130,000"
2022,Ernst & Young,Healthcare,Yes,1578,122,116,48,61,9.5,7.6,"$172,000,000"
2020,Ernst & Young,Tech,No,4570,284,155,6,52,6.1,6.1,"$389,370,000"
2025,Deloitte,Retail,No,718,360,193,14,64,7.3,8.9,"$432,800,000"
2021,Deloitte,Tech,No,4601,65,196,28,75,7.7,5.7,"$320,750,000"
2025,PwC,Finance,Yes,4775,380,139,87,53,8.8,5.8,"$429,950,000"
2022,KPMG,Retail,Yes,4340,208,86,70,57,5.5,7.6,"$178,860,000"
2021,KPMG,Finance,No,4327,312,94,86,66,9.9,9.6,"$444,510,000"
2025,Deloitte,Tech,Yes,1695,285,137,61,64,9.1,8.4,"$302,280,000"
2020,Deloitte,Healthcare,No,995,354,126,25,68,9.3,6.2,"$160,310,000"
2023,Ernst & Young,Healthcare,No,3101,398,149,36,60,9.5,9.9,"$483,070,000"
2021,Deloitte,Tech,No,1992,313,74,93,61,7.6,7.5,"$110,060,000"
2025,KPMG,Healthcare,Yes,2506,330,55,94,40,7.5,9.6,"$250,740,000"
2024,Ernst & Young,Finance,No,2556,306,45,91,68,5.3,5.1,"$426,070,000"
2025,Deloitte,Tech,Yes,4390,367,167,51,59,7.8,9.6,"$334,560,000"
2020,PwC,Finance,No,4401,249,126,45,60,8.2,5.7,"$424,030,000"
2024,Deloitte,Retail,No,1275,201,20,100,66,8.5,7.8,"$378,300,000"
2021,KPMG,Retail,Yes,3630,208,92,24,48,5,5.4,"$440,900,000"
2020,KPMG,Retail,Yes,2654,231,185,73,60,9.2,7,"$478,000,000"
2025,Ernst & Young,Retail,No,1810,91,151,54,55,5.9,6.9,"$285,510,000"
2025,Deloitte,Retail,Yes,2208,296,198,72,77,6,6.7,"$395,590,000"
2023,KPMG,Retail,No,2133,52,141,50,44,9.8,5.8,"$88,080,000"
2024,Deloitte,Finance,Yes,2183,449,25,27,48,9,8.3,"$263,140,000"
2022,KPMG,Retail,No,1924,487,141,33,68,7.3,8.8,"$307,610,000"
2022,KPMG,Finance,Yes,4624,472,142,50,46,5.5,5.7,"$65,000,000"
